Country,January,February,March,April,May,June,July,August,September,October,November,December
United Arab Emirates,889,"1,064","1,252","1,086",703,723,912,814,522,664,759,804
Brazil,"1,047",909,"1,020",960,766,547,450,729,717,734,855,"1,301"
Papua New Guinea,908,529,677,647,707,875,785,690,829,945,685,551
Turkey,934,890,753,664,565,644,690,678,523,698,862,753
South Africa,705,697,710,765,552,561,571,597,585,768,652,"1,390"
Macau,607,808,750,654,690,629,738,750,765,674,632,732
Finland,"1,066","1,138",722,566,545,649,329,282,405,582,868,"1,268"
Brunei,523,599,926,455,618,768,696,627,710,620,800,784
Portugal,590,808,698,"1,195",542,390,418,528,492,650,982,820
Bangladesh,466,540,510,620,404,673,454,502,624,453,877,507
Sri Lanka,593,474,478,491,477,594,532,518,515,734,595,411
Kuwait,568,542,534,563,381,656,702,635,356,450,450,472
Nepal,822,520,445,323,377,680,431,461,453,360,435,711
Cambodia,298,286,315,454,539,447,449,469,670,514,879,668
Pakistan,501,465,423,501,372,454,480,458,552,393,757,437
Mexico,412,372,407,485,409,425,450,376,388,428,534,468
Greece,328,354,325,322,330,241,224,253,264,282,468,458
Argentina,571,400,371,358,303,178,156,177,197,253,349,330
Nigeria,268,243,255,254,519,285,279,297,340,220,291,188
Colombia,298,253,292,302,268,241,256,250,289,256,381,300
Bahrain,312,213,269,243,138,403,392,341,184,256,321,224
Egypt,225,252,208,354,201,300,288,275,258,215,349,285
Oman,207,223,238,203,78,364,223,249,218,164,209,150
Qatar,174,204,207,265,134,284,279,251,107,161,196,229
Iran,184,108,355,177,178,183,160,173,164,206,206,196
Jordan,162,158,184,232,147,186,181,144,111,105,173,148
Peru,144,125,120,134,150,110,99,180,129,139,153,177
Laos,72,61,108,91,90,102,144,113,131,160,280,102
Luxembourg,72,92,58,87,43,31,66,104,37,63,69,115
Venezuela,59,57,65,67,52,40,43,68,59,57,70,65
Nauru,1,6,33,2,11,8,2,5,4,3,17,1
Andorra,,1,2,-,2,2,-,3,1,-,3,11
