,Country,January,February,March,April,May,June,July,August,September,October,November,December,Total,Percentage
94,Ghana,31,25,28,51,35,37,46,87,61,89,62,51,603,0.01%
95,Lebanon,42,75,45,66,41,51,34,46,47,47,54,55,603,0.01%
96,Solomon Islands,0,27,20,17,37,42,51,93,58,82,51,32,29,539
97,Costa Rica,0,50,51,59,60,36,28,22,20,44,40,36,38,484
98,Timor,0,39,57,25,26,26,42,68,55,55,26,27,33,479
99,Ecuador,0,34,42,47,49,17,21,12,25,48,25,33,21,374
100,Armenia,0,17,35,44,23,10,9,78,19,31,31,40,23,360
101,Mauritius,0,24,32,44,31,23,18,21,29,22,25,38,43,350
102,Georgia,0,31,35,41,28,21,20,43,13,19,36,42,20,349
103,Puerto Rico,0,26,20,22,37,13,25,25,53,22,31,33,40,347
104,Jersey,0,43,37,47,36,34,17,22,23,7,16,27,32,341
105,Uganda,0,15,15,20,30,26,37,24,23,38,47,33,31,339
106,Belarus,0,37,52,37,22,13,15,13,15,12,26,42,53,337
107,Kyrgyzstan,0,37,33,39,27,46,23,12,15,17,26,29,33,337
108,American Samoa,0,38,38,30,25,17,27,33,22,15,30,20,25,320
109,Zimbabwe,0,20,22,22,36,19,20,16,30,30,29,23,47,314
110,Panama,0,27,33,30,16,22,24,30,19,25,17,38,22,303
111,Ethiopia,0,20,19,43,24,25,9,16,31,27,32,21,30,297
112,Tanzania,0,25,22,18,20,21,20,20,32,19,40,20,25,282
113,Bhutan,0,12,15,25,20,28,25,32,14,10,32,38,21,272
114,Tajikistan,0,30,13,19,21,12,29,12,15,23,42,27,28,271
115,Vanuatu,0,14,17,15,36,29,24,27,23,29,19,21,15,269
116,Congo Democratic Republic Of,0,35,22,14,21,13,18,21,36,28,17,20,10,255
117,Angola,0,10,15,6,18,12,23,18,54,24,21,11,26,238
118,Iraq,0,8,19,12,9,13,19,15,33,47,26,12,17,230
119,Cote Divoire Ivory Coast,0,15,10,30,29,20,23,19,21,14,20,15,12,228
120,New Caledonia,0,19,25,19,21,17,8,11,15,16,17,14,33,215
121,Albania,0,10,28,16,8,14,14,17,13,16,19,36,23,214
122,Guatemala,0,13,16,26,25,24,8,25,13,6,28,16,14,214
123,Jamaica,0,18,20,18,18,4,11,23,10,18,25,29,18,212
124,Cayman Islands,0,11,7,11,8,19,18,46,30,23,13,10,13,209
125,British Indian Ocean Territory,0,28,22,17,11,14,6,11,6,27,23,20,20,205
126,Bermuda,0,18,10,17,15,17,8,23,16,18,16,16,29,203
127,Dominican Republic,0,12,27,12,9,12,13,9,63,11,10,9,9,196
128,Andorra,0,8,10,16,25,15,25,9,16,22,20,17,5,188
129,El Salvador,0,8,14,14,19,16,11,22,10,30,14,21,5,184
130,Syria,0,11,14,11,10,14,32,12,13,27,13,15,10,182
131,Afghanistan,0,18,8,11,9,18,22,15,25,21,12,11,11,181
132,Sudan,0,12,15,11,18,6,5,7,53,21,13,7,7,175
133,Guernsey,0,20,11,29,17,11,6,5,6,11,15,20,18,169
134,Zambia,0,15,7,14,12,9,13,8,15,30,12,10,24,169
135,Honduras,0,12,10,29,14,16,20,11,2,22,8,14,7,165
136,Moldova,0,24,26,15,6,11,6,4,14,13,11,9,23,162
137,Trinidad And Tobago,0,16,18,27,10,13,4,9,8,17,17,14,7,160
138,Bolivia,0,13,18,9,43,17,4,1,4,5,19,11,13,157
139,Reunion,14,28,26,16,8,8,12,6,4,12,5,6,145,0.00%
140,Namibia,8,10,3,18,12,11,8,6,3,8,12,40,139,0.00%
141,Monaco,10,16,19,10,5,5,11,3,4,13,21,19,136,0.00%
142,Bosnia And Herzegovina,15,13,8,10,6,4,7,8,13,10,21,20,135,0.00%
143,Rwanda,12,9,10,10,4,7,13,24,15,13,13,4,134,0.00%
144,Liberia,11,14,13,16,8,12,10,5,17,14,6,7,133,0.00%
145,Paraguay,18,28,8,9,8,9,7,8,11,1,7,16,130,0.00%
146,Tonga,14,10,8,17,16,8,2,6,13,7,13,8,122,0.00%
147,Senegal,7,4,5,8,5,7,4,21,33,10,7,10,121,0.00%
148,Liechtenstein,11,12,15,15,6,8,16,4,7,5,4,17,120,0.00%
149,Samoa,4,9,12,12,2,15,9,13,14,15,8,7,120,0.00%
150,Turkmenistan,9,5,17,11,8,8,5,4,7,9,12,21,116,0.00%
151,French Polynesia,8,8,7,14,8,13,8,5,8,13,13,9,114,0.00%
152,Bahamas,14,9,8,6,5,15,11,3,9,17,9,6,112,0.00%
153,Mozambique,3,7,14,7,8,3,17,7,14,7,9,13,109,0.00%
154,Eswatini,5,3,11,11,6,3,5,9,27,20,5,2,107,0.00%
155,Aruba,1,3,15,6,12,9,13,5,19,10,3,7,103,0.00%
156,Malawi,16,9,5,4,3,9,5,11,10,9,13,9,103,0.00%
157,Saint Kitts And Nevis,9,9,12,7,7,13,6,6,7,9,6,4,95,0.00%
158,Macedonia,12,5,11,8,7,10,2,4,7,5,5,15,91,0.00%
159,Seychelles,3,4,1,12,10,7,2,13,6,4,13,16,91,0.00%
160,Libya,4,12,3,9,6,9,7,14,10,2,6,7,89,0.00%
161,Nicaragua,3,4,6,4,2,9,2,7,7,14,24,7,89,0.00%
162,Botswana,6,6,2,4,11,5,3,12,2,8,6,18,83,0.00%
163,Aland Islands,4,5,3,5,6,9,6,5,3,7,7,20,80,0.00%
164,Algeria,7,3,2,9,3,5,10,16,6,8,4,6,79,0.00%
165,Azerbaijan,5,6,6,2,5,8,3,10,5,4,10,12,76,0.00%
166,Montenegro,2,4,7,0,4,0,6,35,4,2,10,2,76,0.00%
167,Kiribati,0,7,4,9,11,7,6,10,6,4,6,1,71,0.00%
168,Burkina Faso,1,0,3,13,4,26,2,1,4,5,3,4,66,0.00%
169,Palestine State,3,7,0,2,0,1,16,6,8,0,14,2,59,0.00%
170,Virgin Islands Us,6,3,7,11,5,7,2,3,1,2,4,5,56,0.00%
171,Guinea,4,3,4,3,5,5,1,18,3,2,4,3,55,0.00%
172,Congo Republic Of Cap Brazzaville,2,5,3,8,2,5,5,7,4,3,6,4,54,0.00%
173,Yemen,4,10,2,2,1,3,2,11,4,1,5,6,51,0.00%
174,Togo,10,0,4,2,0,3,7,4,4,8,2,6,50,0.00%
175,Belize,3,4,1,5,3,2,9,7,2,1,9,3,49,0.00%
176,Cook Islands,1,1,2,6,4,7,1,3,8,4,8,3,48,0.00%
177,Burundi,1,1,5,4,1,3,5,5,11,6,0,2,44,0.00%
178,Gambia,0,3,1,3,2,1,3,5,7,10,4,5,44,0.00%
179,Grenada,6,3,5,3,1,7,3,4,0,0,8,4,44,0.00%
180,Greenland,2,2,1,4,1,5,2,2,3,7,7,6,42,0.00%
181,Suriname,1,2,1,3,3,1,2,3,16,3,5,2,42,0.00%
182,Benin,4,4,3,2,3,6,2,5,6,3,1,0,39,0.00%
183,Sint Maarten Dutch Part,4,0,1,6,0,5,6,0,3,7,1,5,38,0.00%
184,Saint Lucia,0,3,7,5,1,2,4,4,0,1,6,4,37,0.00%
185,Central African Republic,2,2,0,1,2,6,8,7,0,3,1,2,34,0.00%
186,Tuvalu,0,0,7,4,2,4,1,0,1,11,2,2,34,0.00%
187,Chad,2,4,8,5,2,1,1,4,0,2,2,2,33,0.00%
188,Curacao,6,5,5,2,1,3,3,2,3,2,1,0,33,0.00%
189,Turks And Caicos,4,0,1,6,2,1,3,5,6,1,4,0,33,0.00%
190,British Virgin Islands,6,3,4,2,3,0,5,3,5,0,0,1,32,0.00%
191,Antigua And Barbuda,0,1,2,3,3,3,6,2,3,0,5,3,31,0.00%
192,Barbados,0,0,5,4,4,0,3,9,1,3,2,0,31,0.00%
193,Martinique,2,1,15,2,1,2,1,0,4,0,0,3,31,0.00%
194,Guadeloupe,0,1,3,3,3,3,8,4,2,1,1,1,30,0.00%
195,Haiti,5,0,3,4,1,1,1,3,4,1,1,6,30,0.00%
196,San Marino,1,8,3,0,0,0,1,4,2,3,1,7,30,0.00%
197,Falkland Islands Malvinas,0,0,1,0,1,1,5,0,3,2,4,11,28,0.00%
198,Guyana,0,6,4,0,1,2,4,5,0,2,1,3,28,0.00%
199,French Guiana,0,0,8,2,1,1,6,3,1,3,1,1,27,0.00%
200,Mali,2,2,2,1,0,1,4,7,3,2,1,2,27,0.00%
201,Gabon,1,0,0,0,1,1,3,4,7,3,3,2,25,0.00%
202,Saint Vincent And The Grenadines,6,2,3,0,4,1,2,0,0,1,3,3,25,0.00%
203,Sierra Leone,0,0,1,0,3,5,0,1,5,4,1,3,23,0.00%
204,Bonaire Sint Eustatius And Saba,1,1,2,0,2,2,5,1,2,3,1,2,22,0.00%
205,Dominica,1,2,1,1,0,2,5,1,1,1,3,4,22,0.00%
206,Equatorial Guinea,1,3,0,5,1,0,2,2,0,2,1,3,20,0.00%
207,Cabo Verde,1,0,1,2,0,4,2,0,0,0,1,3,14,0.00%
208,Niger,0,1,1,0,2,4,0,0,1,2,2,1,14,0.00%
209,Nauru,0,0,0,2,0,2,0,0,0,4,4,1,13,0.00%
210,Somalia,1,2,0,2,3,1,0,1,0,0,2,1,13,0.00%
211,Comoros,1,3,2,0,1,0,0,0,4,0,1,0,12,0.00%
212,French Southern Territories,0,0,0,1,0,0,2,1,1,1,2,4,12,0.00%
213,Lesotho,0,0,0,1,0,1,0,2,6,1,0,0,11,0.00%
214,Anguilla,1,0,0,2,0,0,0,2,3,0,0,2,10,0.00%
215,Djibouti,0,0,1,0,1,2,1,0,1,0,1,3,10,0.00%
216,Antarctica,0,1,3,0,1,2,0,0,0,0,0,2,9,0.00%
217,Cuba,1,0,0,2,2,0,1,0,1,2,0,0,9,0.00%
218,Mauritania,0,1,0,2,1,1,0,1,0,0,3,0,9,0.00%
219,Norfolk Island,0,0,1,5,0,0,3,0,0,0,0,0,9,0.00%
220,Sao Tome And Principe,0,0,0,0,0,1,0,0,7,0,0,1,9,0.00%
221,Eritrea,1,0,1,0,1,0,1,1,0,0,2,1,8,0.00%
222,Guinea,0,0,0,0,3,0,2,1,0,0,1,1,8,0.00%
223,Saint Martin French Part,4,0,1,0,1,0,0,0,1,0,1,0,8,0.00%
224,Cocos Keeling Islands,0,0,0,0,0,0,0,1,4,0,0,1,6,0.00%
225,Niue,0,0,0,4,0,0,0,1,0,1,0,0,6,0.00%
226,Christmas Island,0,0,1,0,1,1,0,2,0,0,0,0,5,0.00%
227,Saint Helena,0,0,1,1,0,0,1,0,0,1,0,0,4,0.00%
228,North Korea,0,0,0,0,2,0,0,0,0,0,0,1,3,0.00%
229,Montserrat,0,0,0,0,0,0,0,2,0,0,0,0,2,0.00%
230,South Georgia And The South Sandwich Islands,0,0,0,0,0,0,1,0,0,0,1,0,2,0.00%
231,Vatican City State,0,1,0,0,1,0,0,0,0,0,0,0,2,0.00%
232,Macedonia,0,0,0,0,0,0,0,0,0,0,1,0,1,0.00%
233,Mayotte,0,0,0,0,0,0,0,0,0,0,0,1,1,0.00%
234,Saint Barthelemy,0,0,0,0,0,0,0,0,0,0,1,0,1,0.00%
235,Saint Pierre And Miquelon,0,0,0,0,0,0,0,0,1,0,0,0,1,0.00%
236,Wallis And Futuna,0,0,1,0,0,0,0,0,0,0,0,0,1,0.00%
237,Western Sahara,0,0,0,0,0,0,0,0,1,0,0,0,1,0.00%
