,Country,January,February,March,April,May,June,July,August,September,October,November,December,Total,Percentage,Previous Total,Growth Rate
0,Grand Total,"574,439","582,332","505,720","459,453","447,435","459,362","525,466","472,482","411,274","441,059","471,835","598,493","5,949,350",100.00%,"5,450,557",9.15%
1,Overseas Filipinos,"32,373","31,115","30,777","29,937","45,099","50,725","57,450","43,945","34,271","38,042","38,705","77,944","510,383",8.58%,"447,082",14.16%
2,Foreign Tourists,"542,066","551,217","474,943","429,516","402,336","408,637","468,016","428,537","377,003","403,017","433,130","520,549","5,438,967",91.42%,"5,003,475",8.70%
3,South Korea,"174,119","155,532","128,968","112,765","110,978","110,120","140,150","145,431","119,020","119,469","119,019","133,500","1,569,071",26.37%,"1,450,858",8.15%
4,Usa,"93,202","92,185","79,303","66,359","72,672","90,179","86,438","57,254","56,550","69,982","75,511","108,256","947,891",15.93%,"903,299",4.94%
5,Japan,"28,454","38,968","37,925","27,153","25,961","23,383","32,020","46,909","32,885","28,255","30,717","35,686","388,316",6.53%,"305,580",27.08%
6,China,"33,389","48,925","27,254","31,585","27,475","22,594","28,521","21,298","19,093","20,167","17,303","14,618","312,222",5.25%,"263,836",18.34%
7,Australia,"28,013","19,681","22,907","22,429","19,437","18,508","19,090","16,376","20,903","21,383","22,744","40,744","272,215",4.58%,"266,551",2.12%
8,Canada,"25,088","22,959","19,587","17,532","16,017","11,939","17,110","14,705","14,704","17,930","19,804","26,569","223,944",3.76%,"221,920",0.91%
9,Taiwan,"16,678","24,263","16,406","20,795","16,087","20,723","21,382","18,752","14,410","13,621","12,917","12,702","208,736",3.51%,"194,851",7.13%
10,United Kingdom,"14,540","13,911","19,238","13,467","12,188","9,582","14,432","11,203","8,802","11,297","13,307","18,329","160,296",2.69%,"154,698",3.62%
11,Singapore,"11,475","12,341","13,044","13,692","13,858","13,966","12,084","12,770","12,449","13,133","14,346","14,106","157,264",2.64%,"149,230",5.38%
12,Malaysia,"7,287","10,240","7,164","8,412","8,535","8,329","7,186","7,269","8,626","7,844","8,103","6,718","95,713",1.61%,"97,639",0
13,Germany,"9,325","9,951","10,251","6,638","5,084","3,121","4,813","4,449","3,929","5,303","7,634","9,388","79,886",1.34%,"74,731",6.90%
14,Hong Kong,"6,233","9,098","8,615","6,167","6,227","6,476","6,235","5,945","5,415","6,241","6,027","6,597","79,276",1.33%,"80,512",0
15,India,"9,865","7,393","6,157","6,041","5,802","5,796","8,458","6,324","5,398","5,388","6,747","5,626","78,995",1.33%,"70,286",12.39%
16,France,"7,772","9,486","7,277","6,317","3,873","1,957","3,337","2,897","2,242","3,459","5,698","6,428","60,743",1.02%,"51,601",17.72%
17,Vietnam,"4,552","6,092","5,395","6,228","6,201","6,273","4,692","4,079","3,795","3,918","3,943","2,930","58,098",0.98%,"67,661",0
